base 2,base 3,base 4,base 5,base 6,base 7,base 8,base 9,base 10,base 11,base 12,base 13,base 14,base 15,base 16
100111,1110,213,124,103,54,47,43,39,36,33,30,2b,29,27
101000,1111,220,130,104,55,50,44,40,37,34,31,2c,2a,28
101001,1112,221,131,105,56,51,45,41,38,35,32,2d,2b,29
101010,1120,222,132,110,60,52,46,42,39,36,33,30,2c,2a
101011,1121,223,133,111,61,53,47,43,3a,37,34,31,2d,2b
101100,1122,230,134,112,62,54,48,44,40,38,35,32,2e,2c
101101,1200,231,140,113,63,55,50,45,41,39,36,33,30,2d
101110,1201,232,141,114,64,56,51,46,42,3a,37,34,31,2e
101111,1202,233,142,115,65,57,52,47,43,3b,38,35,32,2f
110000,1210,300,143,120,66,60,53,48,44,40,39,36,33,30
110001,1211,301,144,121,100,61,54,49,45,41,3a,37,34,31
110010,1212,302,200,122,101,62,55,50,46,42,3b,38,35,32
110011,1220,303,201,123,102,63,56,51,47,43,3c,39,36,33
110100,1221,310,202,124,103,64,57,52,48,44,40,3a,37,34
110101,1222,311,203,125,104,65,58,53,49,45,41,3b,38,35
110110,2000,312,204,130,105,66,60,54,4a,46,42,3c,39,36
110111,2001,313,210,131,106,67,61,55,50,47,43,3d,3a,37
111000,2002,320,211,132,110,70,62,56,51,48,44,40,3b,38
111001,2010,321,212,133,111,71,63,57,52,49,45,41,3c,39
111010,2011,322,213,134,112,72,64,58,53,4a,46,42,3d,3a
111011,2012,323,214,135,113,73,65,59,54,4b,47,43,3e,3b
111100,2020,330,220,140,114,74,66,60,55,50,48,44,40,3c
111101,2021,331,221,141,115,75,67,61,56,51,49,45,41,3d
111110,2022,332,222,142,116,76,68,62,57,52,4a,46,42,3e
111111,2100,333,223,143,120,77,70,63,58,53,4b,47,43,3f
1000000,2101,1000,224,144,121,100,71,64,59,54,4c,48,44,40
1000001,2102,1001,230,145,122,101,72,65,5a,55,50,49,45,41
1000010,2110,1002,231,150,123,102,73,66,60,56,51,4a,46,42
1000011,2111,1003,232,151,124,103,74,67,61,57,52,4b,47,43
1000100,2112,1010,233,152,125,104,75,68,62,58,53,4c,48,44
1000101,2120,1011,234,153,126,105,76,69,63,59,54,4d,49,45
1000110,2121,1012,240,154,130,106,77,70,64,5a,55,50,4a,46
1000111,2122,1013,241,155,131,107,78,71,65,5b,56,51,4b,47
1001000,2200,1020,242,200,132,110,80,72,66,60,57,52,4c,48
1001001,2201,1021,243,201,133,111,81,73,67,61,58,53,4d,49
1001010,2202,1022,244,202,134,112,82,74,68,62,59,54,4e,4a
1001011,2210,1023,300,203,135,113,83,75,69,63,5a,55,50,4b
1001100,2211,1030,301,204,136,114,84,76,6a,64,5b,56,51,4c
1001101,2212,1031,302,205,140,115,85,77,70,65,5c,57,52,4d
1001110,2220,1032,303,210,141,116,86,78,71,66,60,58,53,4e
1001111,2221,1033,304,211,142,117,87,79,72,67,61,59,54,4f
1010000,2222,1100,310,212,143,120,88,80,73,68,62,5a,55,50
1010001,10000,1101,311,213,144,121,100,81,74,69,63,5b,56,51
1010010,10001,1102,312,214,145,122,101,82,75,6a,64,5c,57,52
1010011,10002,1103,313,215,146,123,102,83,76,6b,65,5d,58,53
1010100,10010,1110,314,220,150,124,103,84,77,70,66,60,59,54
1010101,10011,1111,320,221,151,125,104,85,78,71,67,61,5a,55
1010110,10012,1112,321,222,152,126,105,86,79,72,68,62,5b,56
1010111,10020,1113,322,223,153,127,106,87,7a,73,69,63,5c,57
1011000,10021,1120,323,224,154,130,107,88,80,74,6a,64,5d,58
1011001,10022,1121,324,225,155,131,108,89,81,75,6b,65,5e,59
1011010,10100,1122,330,230,156,132,110,90,82,76,6c,66,60,5a
1011011,10101,1123,331,231,160,133,111,91,83,77,70,67,61,5b
1011100,10102,1130,332,232,161,134,112,92,84,78,71,68,62,5c
1011101,10110,1131,333,233,162,135,113,93,85,79,72,69,63,5d
1011110,10111,1132,334,234,163,136,114,94,86,7a,73,6a,64,5e
1011111,10112,1133,340,235,164,137,115,95,87,7b,74,6b,65,5f
1100000,10120,1200,341,240,165,140,116,96,88,80,75,6c,66,60
1100001,10121,1201,342,241,166,141,117,97,89,81,76,6d,67,61
1100010,10122,1202,343,242,200,142,118,98,8a,82,77,70,68,62
1100011,10200,1203,344,243,201,143,120,99,90,83,78,71,69,63
1100100,10201,1210,400,244,202,144,121,100,91,84,79,72,6a,64
1100101,10202,1211,401,245,203,145,122,101,92,85,7a,73,6b,65
1100110,10210,1212,402,250,204,146,123,102,93,86,7b,74,6c,66
1100111,10211,1213,403,251,205,147,124,103,94,87,7c,75,6d,67
1101000,10212,1220,404,252,206,150,125,104,95,88,80,76,6e,68
1101001,10220,1221,410,253,210,151,126,105,96,89,81,77,70,69
1101010,10221,1222,411,254,211,152,127,106,97,8a,82,78,71,6a
1101011,10222,1223,412,255,212,153,128,107,98,8b,83,79,72,6b
1101100,11000,1230,413,300,213,154,130,108,99,90,84,7a,73,6c
1101101,11001,1231,414,301,214,155,131,109,9a,91,85,7b,74,6d
1101110,11002,1232,420,302,215,156,132,110,a0,92,86,7c,75,6e
1101111,11010,1233,421,303,216,157,133,111,a1,93,87,7d,76,6f
1110000,11011,1300,422,304,220,160,134,112,a2,94,88,80,77,70
1110001,11012,1301,423,305,221,161,135,113,a3,95,89,81,78,71
1110010,11020,1302,424,310,222,162,136,114,a4,96,8a,82,79,72
1110011,11021,1303,430,311,223,163,137,115,a5,97,8b,83,7a,73
1110100,11022,1310,431,312,224,164,138,116,a6,98,8c,84,7b,74
1110101,11100,1311,432,313,225,165,140,117,a7,99,90,85,7c,75
1110110,11101,1312,433,314,226,166,141,118,a8,9a,91,86,7d,76
1110111,11102,1313,434,315,230,167,142,119,a9,9b,92,87,7e,77
1111000,11110,1320,440,320,231,170,143,120,aa,a0,93,88,80,78
1111001,11111,1321,441,321,232,171,144,121,100,a1,94,89,81,79
1111010,11112,1322,442,322,233,172,145,122,101,a2,95,8a,82,7a
1111011,11120,1323,443,323,234,173,146,123,102,a3,96,8b,83,7b
1111100,11121,1330,444,324,235,174,147,124,103,a4,97,8c,84,7c
1111101,11122,1331,1000,325,236,175,148,125,104,a5,98,8d,85,7d
1111110,11200,1332,1001,330,240,176,150,126,105,a6,99,90,86,7e
1111111,11201,1333,1002,331,241,177,151,127,106,a7,9a,91,87,7f
10000000,11202,2000,1003,332,242,200,152,128,107,a8,9b,92,88,80
10000001,11210,2001,1004,333,243,201,153,129,108,a9,9c,93,89,81
10000010,11211,2002,1010,334,244,202,154,130,109,aa,a0,94,8a,82
10000011,11212,2003,1011,335,245,203,155,131,10a,ab,a1,95,8b,83
10000100,11220,2010,1012,340,246,204,156,132,110,b0,a2,96,8c,84
10000101,11221,2011,1013,341,250,205,157,133,111,b1,a3,97,8d,85
10000110,11222,2012,1014,342,251,206,158,134,112,b2,a4,98,8e,86
10000111,12000,2013,1020,343,252,207,160,135,113,b3,a5,99,90,87
10001000,12001,2020,1021,344,253,210,161,136,114,b4,a6,9a,91,88
10001001,12002,2021,1022,345,254,211,162,137,115,b5,a7,9b,92,89
10001010,12010,2022,1023,350,255,212,163,138,116,b6,a8,9c,93,8a
10001011,12011,2023,1024,351,256,213,164,139,117,b7,a9,9d,94,8b
10001100,12012,2030,1030,352,260,214,165,140,118,b8,aa,a0,95,8c
10001101,12020,2031,1031,353,261,215,166,141,119,b9,ab,a1,96,8d
10001110,12021,2032,1032,354,262,216,167,142,11a,ba,ac,a2,97,8e
10001111,12022,2033,1033,355,263,217,168,143,120,bb,b0,a3,98,8f
10010000,12100,2100,1034,400,264,220,170,144,121,100,b1,a4,99,90
10010001,12101,2101,1040,401,265,221,171,145,122,101,b2,a5,9a,91
10010010,12102,2102,1041,402,266,222,172,146,123,102,b3,a6,9b,92
10010011,12110,2103,1042,403,300,223,173,147,124,103,b4,a7,9c,93
10010100,12111,2110,1043,404,301,224,174,148,125,104,b5,a8,9d,94
10010101,12112,2111,1044,405,302,225,175,149,126,105,b6,a9,9e,95
10010110,12120,2112,1100,410,303,226,176,150,127,106,b7,aa,a0,96
10010111,12121,2113,1101,411,304,227,177,151,128,107,b8,ab,a1,97
10011000,12122,2120,1102,412,305,230,178,152,129,108,b9,ac,a2,98
10011001,12200,2121,1103,413,306,231,180,153,12a,109,ba,ad,a3,99
10011010,12201,2122,1104,414,310,232,181,154,130,10a,bb,b0,a4,9a
10011011,12202,2123,1110,415,311,233,182,155,131,10b,bc,b1,a5,9b
10011100,12210,2130,1111,420,312,234,183,156,132,110,c0,b2,a6,9c
10011101,12211,2131,1112,421,313,235,184,157,133,111,c1,b3,a7,9d
10011110,12212,2132,1113,422,314,236,185,158,134,112,c2,b4,a8,9e
10011111,12220,2133,1114,423,315,237,186,159,135,113,c3,b5,a9,9f
10100000,12221,2200,1120,424,316,240,187,160,136,114,c4,b6,aa,a0
10100001,12222,2201,1121,425,320,241,188,161,137,115,c5,b7,ab,a1
10100010,20000,2202,1122,430,321,242,200,162,138,116,c6,b8,ac,a2
10100011,20001,2203,1123,431,322,243,201,163,139,117,c7,b9,ad,a3
10100100,20002,2210,1124,432,323,244,202,164,13a,118,c8,ba,ae,a4
10100101,20010,2211,1130,433,324,245,203,165,140,119,c9,bb,b0,a5
10100110,20011,2212,1131,434,325,246,204,166,141,11a,ca,bc,b1,a6
10100111,20012,2213,1132,435,326,247,205,167,142,11b,cb,bd,b2,a7
10101000,20020,2220,1133,440,330,250,206,168,143,120,cc,c0,b3,a8
10101001,20021,2221,1134,441,331,251,207,169,144,121,100,c1,b4,a9
10101010,20022,2222,1140,442,332,252,208,170,145,122,101,c2,b5,aa
10101011,20100,2223,1141,443,333,253,210,171,146,123,102,c3,b6,ab
10101100,20101,2230,1142,444,334,254,211,172,147,124,103,c4,b7,ac
10101101,20102,2231,1143,445,335,255,212,173,148,125,104,c5,b8,ad
10101110,20110,2232,1144,450,336,256,213,174,149,126,105,c6,b9,ae
10101111,20111,2233,1200,451,340,257,214,175,14a,127,106,c7,ba,af
10110000,20112,2300,1201,452,341,260,215,176,150,128,107,c8,bb,b0
10110001,20120,2301,1202,453,342,261,216,177,151,129,108,c9,bc,b1
10110010,20121,2302,1203,454,343,262,217,178,152,12a,109,ca,bd,b2
10110011,20122,2303,1204,455,344,263,218,179,153,12b,10a,cb,be,b3
10110100,20200,2310,1210,500,345,264,220,180,154,130,10b,cc,c0,b4
10110101,20201,2311,1211,501,346,265,221,181,155,131,10c,cd,c1,b5
10110110,20202,2312,1212,502,350,266,222,182,156,132,110,d0,c2,b6
10110111,20210,2313,1213,503,351,267,223,183,157,133,111,d1,c3,b7
10111000,20211,2320,1214,504,352,270,224,184,158,134,112,d2,c4,b8
10111001,20212,2321,1220,505,353,271,225,185,159,135,113,d3,c5,b9
10111010,20220,2322,1221,510,354,272,226,186,15a,136,114,d4,c6,ba
10111011,20221,2323,1222,511,355,273,227,187,160,137,115,d5,c7,bb
10111100,20222,2330,1223,512,356,274,228,188,161,138,116,d6,c8,bc
10111101,21000,2331,1224,513,360,275,230,189,162,139,117,d7,c9,bd
10111110,21001,2332,1230,514,361,276,231,190,163,13a,118,d8,ca,be
10111111,21002,2333,1231,515,362,277,232,191,164,13b,119,d9,cb,bf
11000000,21010,3000,1232,520,363,300,233,192,165,140,11a,da,cc,c0
11000001,21011,3001,1233,521,364,301,234,193,166,141,11b,db,cd,c1
11000010,21012,3002,1234,522,365,302,235,194,167,142,11c,dc,ce,c2
11000011,21020,3003,1240,523,366,303,236,195,168,143,120,dd,d0,c3
11000100,21021,3010,1241,524,400,304,237,196,169,144,121,100,d1,c4
11000101,21022,3011,1242,525,401,305,238,197,16a,145,122,101,d2,c5
11000110,21100,3012,1243,530,402,306,240,198,170,146,123,102,d3,c6
11000111,21101,3013,1244,531,403,307,241,199,171,147,124,103,d4,c7
11001000,21102,3020,1300,532,404,310,242,200,172,148,125,104,d5,c8
11001001,21110,3021,1301,533,405,311,243,201,173,149,126,105,d6,c9
11001010,21111,3022,1302,534,406,312,244,202,174,14a,127,106,d7,ca
11001011,21112,3023,1303,535,410,313,245,203,175,14b,128,107,d8,cb
11001100,21120,3030,1304,540,411,314,246,204,176,150,129,108,d9,cc
11001101,21121,3031,1310,541,412,315,247,205,177,151,12a,109,da,cd
11001110,21122,3032,1311,542,413,316,248,206,178,152,12b,10a,db,ce
11001111,21200,3033,1312,543,414,317,250,207,179,153,12c,10b,dc,cf
11010000,21201,3100,1313,544,415,320,251,208,17a,154,130,10c,dd,d0
11010001,21202,3101,1314,545,416,321,252,209,180,155,131,10d,de,d1
11010010,21210,3102,1320,550,420,322,253,210,181,156,132,110,e0,d2
11010011,21211,3103,1321,551,421,323,254,211,182,157,133,111,e1,d3
11010100,21212,3110,1322,552,422,324,255,212,183,158,134,112,e2,d4
11010101,21220,3111,1323,553,423,325,256,213,184,159,135,113,e3,d5
11010110,21221,3112,1324,554,424,326,257,214,185,15a,136,114,e4,d6
11010111,21222,3113,1330,555,425,327,258,215,186,15b,137,115,e5,d7
11011000,22000,3120,1331,1000,426,330,260,216,187,160,138,116,e6,d8
11011001,22001,3121,1332,1001,430,331,261,217,188,161,139,117,e7,d9
11011010,22002,3122,1333,1002,431,332,262,218,189,162,13a,118,e8,da
11011011,22010,3123,1334,1003,432,333,263,219,18a,163,13b,119,e9,db
11011100,22011,3130,1340,1004,433,334,264,220,190,164,13c,11a,ea,dc
11011101,22012,3131,1341,1005,434,335,265,221,191,165,140,11b,eb,dd
11011110,22020,3132,1342,1010,435,336,266,222,192,166,141,11c,ec,de
11011111,22021,3133,1343,1011,436,337,267,223,193,167,142,11d,ed,df
11100000,22022,3200,1344,1012,440,340,268,224,194,168,143,120,ee,e0
11100001,22100,3201,1400,1013,441,341,270,225,195,169,144,121,100,e1
11100010,22101,3202,1401,1014,442,342,271,226,196,16a,145,122,101,e2
11100011,22102,3203,1402,1015,443,343,272,227,197,16b,146,123,102,e3
11100100,22110,3210,1403,1020,444,344,273,228,198,170,147,124,103,e4
11100101,22111,3211,1404,1021,445,345,274,229,199,171,148,125,104,e5
11100110,22112,3212,1410,1022,446,346,275,230,19a,172,149,126,105,e6
11100111,22120,3213,1411,1023,450,347,276,231,1a0,173,14a,127,106,e7
11101000,22121,3220,1412,1024,451,350,277,232,1a1,174,14b,128,107,e8
11101001,22122,3221,1413,1025,452,351,278,233,1a2,175,14c,129,108,e9
11101010,22200,3222,1414,1030,453,352,280,234,1a3,176,150,12a,109,ea
11101011,22201,3223,1420,1031,454,353,281,235,1a4,177,151,12b,10a,eb
11101100,22202,3230,1421,1032,455,354,282,236,1a5,178,152,12c,10b,ec
11101101,22210,3231,1422,1033,456,355,283,237,1a6,179,153,12d,10c,ed
11101110,22211,3232,1423,1034,460,356,284,238,1a7,17a,154,130,10d,ee
11101111,22212,3233,1424,1035,461,357,285,239,1a8,17b,155,131,10e,ef
11110000,22220,3300,1430,1040,462,360,286,240,1a9,180,156,132,110,f0
11110001,22221,3301,1431,1041,463,361,287,241,1aa,181,157,133,111,f1
11110010,22222,3302,1432,1042,464,362,288,242,200,182,158,134,112,f2
11110011,100000,3303,1433,1043,465,363,300,243,201,183,159,135,113,f3
11110100,100001,3310,1434,1044,466,364,301,244,202,184,15a,136,114,f4
11110101,100002,3311,1440,1045,500,365,302,245,203,185,15b,137,115,f5
11110110,100010,3312,1441,1050,501,366,303,246,204,186,15c,138,116,f6
11110111,100011,3313,1442,1051,502,367,304,247,205,187,160,139,117,f7
11111000,100012,3320,1443,1052,503,370,305,248,206,188,161,13a,118,f8
11111001,100020,3321,1444,1053,504,371,306,249,207,189,162,13b,119,f9
11111010,100021,3322,2000,1054,505,372,307,250,208,18a,163,13c,11a,fa
11111011,100022,3323,2001,1055,506,373,308,251,209,18b,164,13d,11b,fb
11111100,100100,3330,2002,1100,510,374,310,252,20a,190,165,140,11c,fc
11111101,100101,3331,2003,1101,511,375,311,253,210,191,166,141,11d,fd
11111110,100102,3332,2004,1102,512,376,312,254,211,192,167,142,11e,fe
11111111,100110,3333,2010,1103,513,377,313,255,212,193,168,143,120,ff
100000000,100111,10000,2011,1104,514,400,314,256,213,194,169,144,121,100
100000001,100112,10001,2012,1105,515,401,315,257,214,195,16a,145,122,101
100000010,100120,10002,2013,1110,516,402,316,258,215,196,16b,146,123,102
100000011,100121,10003,2014,1111,520,403,317,259,216,197,16c,147,124,103
100000100,100122,10010,2020,1112,521,404,318,260,217,198,170,148,125,104
100000101,100200,10011,2021,1113,522,405,320,261,218,199,171,149,126,105
100000110,100201,10012,2022,1114,523,406,321,262,219,19a,172,14a,127,106
100000111,100202,10013,2023,1115,524,407,322,263,21a,19b,173,14b,128,107
100001000,100210,10020,2024,1120,525,410,323,264,220,1a0,174,14c,129,108
100001001,100211,10021,2030,1121,526,411,324,265,221,1a1,175,14d,12a,109
100001010,100212,10022,2031,1122,530,412,325,266,222,1a2,176,150,12b,10a
100001011,100220,10023,2032,1123,531,413,326,267,223,1a3,177,151,12c,10b
100001100,100221,10030,2033,1124,532,414,327,268,224,1a4,178,152,12d,10c
100001101,100222,10031,2034,1125,533,415,328,269,225,1a5,179,153,12e,10d
100001110,101000,10032,2040,1130,534,416,330,270,226,1a6,17a,154,130,10e
100001111,101001,10033,2041,1131,535,417,331,271,227,1a7,17b,155,131,10f
100010000,101002,10100,2042,1132,536,420,332,272,228,1a8,17c,156,132,110
100010001,101010,10101,2043,1133,540,421,333,273,229,1a9,180,157,133,111
100010010,101011,10102,2044,1134,541,422,334,274,22a,1aa,181,158,134,112
100010011,101012,10103,2100,1135,542,423,335,275,230,1ab,182,159,135,113
100010100,101020,10110,2101,1140,543,424,336,276,231,1b0,183,15a,136,114
100010101,101021,10111,2102,1141,544,425,337,277,232,1b1,184,15b,137,115
100010110,101022,10112,2103,1142,545,426,338,278,233,1b2,185,15c,138,116
100010111,101100,10113,2104,1143,546,427,340,279,234,1b3,186,15d,139,117
100011000,101101,10120,2110,1144,550,430,341,280,235,1b4,187,160,13a,118
100011001,101102,10121,2111,1145,551,431,342,281,236,1b5,188,161,13b,119
100011010,101110,10122,2112,1150,552,432,343,282,237,1b6,189,162,13c,11a
100011011,101111,10123,2113,1151,553,433,344,283,238,1b7,18a,163,13d,11b
100011100,101112,10130,2114,1152,554,434,345,284,239,1b8,18b,164,13e,11c
100011101,101120,10131,2120,1153,555,435,346,285,23a,1b9,18c,165,140,11d
100011110,101121,10132,2121,1154,556,436,347,286,240,1ba,190,166,141,11e
100011111,101122,10133,2122,1155,560,437,348,287,241,1bb,191,167,142,11f
100100000,101200,10200,2123,1200,561,440,350,288,242,200,192,168,143,120
100100001,101201,10201,2124,1201,562,441,351,289,243,201,193,169,144,121
100100010,101202,10202,2130,1202,563,442,352,290,244,202,194,16a,145,122
100100011,101210,10203,2131,1203,564,443,353,291,245,203,195,16b,146,123
100100100,101211,10210,2132,1204,565,444,354,292,246,204,196,16c,147,124
100100101,101212,10211,2133,1205,566,445,355,293,247,205,197,16d,148,125
100100110,101220,10212,2134,1210,600,446,356,294,248,206,198,170,149,126
100100111,101221,10213,2140,1211,601,447,357,295,249,207,199,171,14a,127
100101000,101222,10220,2141,1212,602,450,358,296,24a,208,19a,172,14b,128
100101001,102000,10221,2142,1213,603,451,360,297,250,209,19b,173,14c,129
100101010,102001,10222,2143,1214,604,452,361,298,251,20a,19c,174,14d,12a
100101011,102002,10223,2144,1215,605,453,362,299,252,20b,1a0,175,14e,12b
100101100,102010,10230,2200,1220,606,454,363,300,253,210,1a1,176,150,12c
100101101,102011,10231,2201,1221,610,455,364,301,254,211,1a2,177,151,12d
100101110,102012,10232,2202,1222,611,456,365,302,255,212,1a3,178,152,12e
100101111,102020,10233,2203,1223,612,457,366,303,256,213,1a4,179,153,12f
100110000,102021,10300,2204,1224,613,460,367,304,257,214,1a5,17a,154,130
100110001,102022,10301,2210,1225,614,461,368,305,258,215,1a6,17b,155,131
100110010,102100,10302,2211,1230,615,462,370,306,259,216,1a7,17c,156,132
100110011,102101,10303,2212,1231,616,463,371,307,25a,217,1a8,17d,157,133
100110100,102102,10310,2213,1232,620,464,372,308,260,218,1a9,180,158,134
100110101,102110,10311,2214,1233,621,465,373,309,261,219,1aa,181,159,135
100110110,102111,10312,2220,1234,622,466,374,310,262,21a,1ab,182,15a,136
100110111,102112,10313,2221,1235,623,467,375,311,263,21b,1ac,183,15b,137
100111000,102120,10320,2222,1240,624,470,376,312,264,220,1b0,184,15c,138
100111001,102121,10321,2223,1241,625,471,377,313,265,221,1b1,185,15d,139
100111010,102122,10322,2224,1242,626,472,378,314,266,222,1b2,186,15e,13a
100111011,102200,10323,2230,1243,630,473,380,315,267,223,1b3,187,160,13b
100111100,102201,10330,2231,1244,631,474,381,316,268,224,1b4,188,161,13c
100111101,102202,10331,2232,1245,632,475,382,317,269,225,1b5,189,162,13d
100111110,102210,10332,2233,1250,633,476,383,318,26a,226,1b6,18a,163,13e
100111111,102211,10333,2234,1251,634,477,384,319,270,227,1b7,18b,164,13f
101000000,102212,11000,2240,1252,635,500,385,320,271,228,1b8,18c,165,140
101000001,102220,11001,2241,1253,636,501,386,321,272,229,1b9,18d,166,141
101000010,102221,11002,2242,1254,640,502,387,322,273,22a,1ba,190,167,142
101000011,102222,11003,2243,1255,641,503,388,323,274,22b,1bb,191,168,143
101000100,110000,11010,2244,1300,642,504,400,324,275,230,1bc,192,169,144
101000101,110001,11011,2300,1301,643,505,401,325,276,231,1c0,193,16a,145
101000110,110002,11012,2301,1302,644,506,402,326,277,232,1c1,194,16b,146
101000111,110010,11013,2302,1303,645,507,403,327,278,233,1c2,195,16c,147
101001000,110011,11020,2303,1304,646,510,404,328,279,234,1c3,196,16d,148
101001001,110012,11021,2304,1305,650,511,405,329,27a,235,1c4,197,16e,149
101001010,110020,11022,2310,1310,651,512,406,330,280,236,1c5,198,170,14a
101001011,110021,11023,2311,1311,652,513,407,331,281,237,1c6,199,171,14b
101001100,110022,11030,2312,1312,653,514,408,332,282,238,1c7,19a,172,14c
101001101,110100,11031,2313,1313,654,515,410,333,283,239,1c8,19b,173,14d
101001110,110101,11032,2314,1314,655,516,411,334,284,23a,1c9,19c,174,14e
101001111,110102,11033,2320,1315,656,517,412,335,285,23b,1ca,19d,175,14f
101010000,110110,11100,2321,1320,660,520,413,336,286,240,1cb,1a0,176,150
101010001,110111,11101,2322,1321,661,521,414,337,287,241,1cc,1a1,177,151
101010010,110112,11102,2323,1322,662,522,415,338,288,242,200,1a2,178,152
101010011,110120,11103,2324,1323,663,523,416,339,289,243,201,1a3,179,153
101010100,110121,11110,2330,1324,664,524,417,340,28a,244,202,1a4,17a,154
101010101,110122,11111,2331,1325,665,525,418,341,290,245,203,1a5,17b,155
101010110,110200,11112,2332,1330,666,526,420,342,291,246,204,1a6,17c,156
101010111,110201,11113,2333,1331,1000,527,421,343,292,247,205,1a7,17d,157
101011000,110202,11120,2334,1332,1001,530,422,344,293,248,206,1a8,17e,158
101011001,110210,11121,2340,1333,1002,531,423,345,294,249,207,1a9,180,159
101011010,110211,11122,2341,1334,1003,532,424,346,295,24a,208,1aa,181,15a
101011011,110212,11123,2342,1335,1004,533,425,347,296,24b,209,1ab,182,15b
101011100,110220,11130,2343,1340,1005,534,426,348,297,250,20a,1ac,183,15c
101011101,110221,11131,2344,1341,1006,535,427,349,298,251,20b,1ad,184,15d
101011110,110222,11132,2400,1342,1010,536,428,350,299,252,20c,1b0,185,15e
101011111,111000,11133,2401,1343,1011,537,430,351,29a,253,210,1b1,186,15f
101100000,111001,11200,2402,1344,1012,540,431,352,2a0,254,211,1b2,187,160
101100001,111002,11201,2403,1345,1013,541,432,353,2a1,255,212,1b3,188,161
101100010,111010,11202,2404,1350,1014,542,433,354,2a2,256,213,1b4,189,162
101100011,111011,11203,2410,1351,1015,543,434,355,2a3,257,214,1b5,18a,163
101100100,111012,11210,2411,1352,1016,544,435,356,2a4,258,215,1b6,18b,164
101100101,111020,11211,2412,1353,1020,545,436,357,2a5,259,216,1b7,18c,165
101100110,111021,11212,2413,1354,1021,546,437,358,2a6,25a,217,1b8,18d,166
101100111,111022,11213,2414,1355,1022,547,438,359,2a7,25b,218,1b9,18e,167
101101000,111100,11220,2420,1400,1023,550,440,360,2a8,260,219,1ba,190,168
101101001,111101,11221,2421,1401,1024,551,441,361,2a9,261,21a,1bb,191,169
101101010,111102,11222,2422,1402,1025,552,442,362,2aa,262,21b,1bc,192,16a
101101011,111110,11223,2423,1403,1026,553,443,363,300,263,21c,1bd,193,16b
101101100,111111,11230,2424,1404,1030,554,444,364,301,264,220,1c0,194,16c
101101101,111112,11231,2430,1405,1031,555,445,365,302,265,221,1c1,195,16d
101101110,111120,11232,2431,1410,1032,556,446,366,303,266,222,1c2,196,16e
101101111,111121,11233,2432,1411,1033,557,447,367,304,267,223,1c3,197,16f
101110000,111122,11300,2433,1412,1034,560,448,368,305,268,224,1c4,198,170
101110001,111200,11301,2434,1413,1035,561,450,369,306,269,225,1c5,199,171
101110010,111201,11302,2440,1414,1036,562,451,370,307,26a,226,1c6,19a,172
101110011,111202,11303,2441,1415,1040,563,452,371,308,26b,227,1c7,19b,173
